Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,181.300003,185.240005,180.800003,182.300003,128.295609,1044182
2021-12-14,182.820007,184.460007,181.619995,181.619995,127.817055,1013320
2021-12-15,182.500000,183.860001,179.339996,179.339996,126.212486,905083
2021-12-16,182.399994,184.800003,181.500000,182.619995,128.520813,1068099
2021-12-17,181.199997,181.360001,174.419998,176.020004,123.875992,1788057
2021-12-20,170.600006,173.919998,168.020004,172.380005,121.314323,1076436
2021-12-21,174.240005,175.199997,172.380005,174.080002,122.510696,609862
2021-12-22,174.279999,175.380005,172.600006,175.380005,123.425583,481084
2021-12-23,176.660004,178.139999,176.179993,176.899994,124.495308,528329
2021-12-27,176.899994,178.580002,176.240005,178.419998,125.565025,415030
2021-12-28,178.779999,180.759995,178.500000,179.339996,126.212486,427760
2021-12-29,178.759995,179.000000,176.699997,177.199997,124.706429,397514
2021-12-30,177.000000,177.479996,176.500000,177.479996,124.903488,333679
2022-01-03,178.000000,182.899994,177.399994,180.800003,127.239967,945730
2022-01-04,181.839996,188.460007,181.600006,186.979996,131.589203,1280483
2022-01-05,187.279999,191.119995,187.160004,191.000000,134.418335,997809
2022-01-06,187.300003,192.240005,186.979996,189.100006,133.081192,888814
2022-01-07,189.720001,189.880005,186.300003,187.740005,132.124084,775354
2022-01-10,189.000000,191.059998,186.179993,187.759995,132.138138,900264
2022-01-11,189.000000,189.199997,186.119995,188.380005,132.574493,655358
2022-01-12,189.899994,191.259995,187.619995,188.320007,132.532272,874152
2022-01-13,187.800003,191.160004,186.199997,190.059998,133.756805,1094322
2022-01-14,190.639999,195.000000,190.100006,193.100006,135.896240,1418704
2022-01-17,194.740005,194.940002,190.639999,192.580002,135.530273,664755
2022-01-18,191.100006,192.860001,188.380005,190.520004,134.080536,789729
2022-01-19,189.039993,195.139999,188.059998,191.699997,134.910965,1035857
2022-01-20,191.619995,192.039993,188.820007,190.720001,134.221283,774560
2022-01-21,188.000000,188.139999,184.440002,187.619995,132.039627,1219489
2022-01-24,185.500000,187.240005,175.520004,176.520004,124.227882,1659950
2022-01-25,178.699997,180.479996,175.339996,178.259995,125.452415,1140861
2022-01-26,179.500000,185.039993,179.380005,183.020004,128.802322,985770
2022-01-27,179.899994,187.899994,179.539993,186.259995,131.082504,1151764
2022-01-28,186.820007,186.820007,181.139999,183.600006,129.210510,988976
2022-01-31,185.660004,186.160004,181.380005,183.320007,129.013458,880263
2022-02-01,184.020004,186.440002,183.600006,185.320007,130.420990,907585
2022-02-02,186.020004,187.779999,183.500000,184.399994,129.773499,771011
2022-02-03,183.220001,184.539993,181.639999,181.740005,127.901512,710672
2022-02-04,182.259995,182.619995,174.039993,176.139999,123.960442,1555866
2022-02-07,177.039993,178.339996,175.940002,175.940002,123.819695,750166
2022-02-08,175.960007,178.800003,174.580002,176.460007,124.185661,975318
2022-02-09,179.000000,189.220001,178.240005,187.259995,131.786270,1882706
2022-02-10,188.139999,189.020004,185.080002,187.279999,131.800339,809440
2022-02-11,184.199997,189.520004,183.179993,188.639999,132.757446,1090653
2022-02-14,181.899994,183.740005,179.759995,182.699997,128.577118,1366933
2022-02-15,182.100006,188.979996,181.020004,188.199997,132.447815,1083117
2022-02-16,187.820007,189.899994,184.880005,186.020004,130.913605,769936
2022-02-17,186.380005,187.619995,183.279999,184.000000,129.492004,733963
2022-02-18,184.119995,185.759995,178.800003,180.100006,126.747353,1001258
2022-02-21,181.500000,182.899994,173.179993,174.979996,123.144081,1039852
2022-02-22,168.500000,192.800003,168.100006,188.699997,132.799683,4284172
2022-02-23,189.160004,193.360001,186.960007,187.080002,131.659592,1641699
2022-02-24,176.000000,182.720001,174.339996,176.100006,123.932304,2892957
2022-02-25,181.759995,186.059998,177.520004,185.320007,130.420990,2256748
2022-02-28,179.500000,181.580002,174.259995,178.039993,125.297592,2270479
2022-03-01,176.720001,178.679993,164.100006,164.479996,115.754601,2668369
2022-03-02,162.000000,166.199997,156.559998,160.000000,112.601753,2665692
2022-03-03,159.039993,161.220001,154.559998,155.360001,109.336296,2126189
2022-03-04,151.000000,152.220001,143.160004,144.500000,101.693443,3043218
2022-03-07,139.000000,142.979996,133.139999,136.740005,96.232269,3024752
2022-03-08,132.820007,142.000000,131.300003,135.839996,95.598877,2508587
2022-03-09,142.600006,152.059998,139.220001,150.320007,105.789337,3037590
2022-03-10,151.500000,151.979996,141.100006,143.779999,101.186737,1812150
2022-03-11,144.000000,149.639999,142.600006,143.699997,101.130440,1610685
2022-03-14,154.000000,156.199997,149.399994,150.000000,105.564133,2175942
2022-03-15,148.199997,152.660004,145.419998,151.000000,106.267899,1605287
2022-03-16,157.660004,158.220001,153.660004,155.639999,109.533348,2479755
2022-03-17,158.899994,158.899994,152.399994,155.460007,109.406685,1414860
2022-03-18,155.380005,156.460007,149.860001,153.919998,108.322884,2557484
