estacion,magnitud,ano,mes,dia,dato_no2
4,8,2017,01,d01,50
4,8,2017,01,d02,62
4,8,2017,01,d03,71
4,8,2017,01,d04,64
4,8,2017,01,d05,59
4,8,2017,01,d06,59
4,8,2017,01,d07,74
4,8,2017,01,d08,75
4,8,2017,01,d09,74
4,8,2017,01,d10,81
4,8,2017,01,d11,70
4,8,2017,01,d12,49
4,8,2017,01,d13,46
4,8,2017,01,d14,63
4,8,2017,01,d15,55
4,8,2017,01,d16,73
4,8,2017,01,d17,47
4,8,2017,01,d18,35
4,8,2017,01,d19,26
4,8,2017,01,d20,24
4,8,2017,01,d21,35
4,8,2017,01,d22,50
4,8,2017,01,d23,70
4,8,2017,01,d24,86
4,8,2017,01,d25,77
4,8,2017,01,d26,76
4,8,2017,01,d27,53
4,8,2017,01,d28,30
4,8,2017,01,d29,40
4,8,2017,01,d30,41
4,8,2017,01,d31,59
4,8,2017,02,d01,93
4,8,2017,02,d02,48
4,8,2017,02,d03,28
4,8,2017,02,d04,16
4,8,2017,02,d05,14
4,8,2017,02,d06,29
4,8,2017,02,d07,43
4,8,2017,02,d08,51
4,8,2017,02,d09,80
4,8,2017,02,d10,94
4,8,2017,02,d11,55
4,8,2017,02,d12,51
4,8,2017,02,d13,29
4,8,2017,02,d14,55
4,8,2017,02,d15,60
4,8,2017,02,d16,62
4,8,2017,02,d17,68
4,8,2017,02,d18,63
4,8,2017,02,d19,35
4,8,2017,02,d20,55
4,8,2017,02,d21,63
4,8,2017,02,d22,78
4,8,2017,02,d23,73
4,8,2017,02,d24,51
4,8,2017,02,d25,51
4,8,2017,02,d26,38
4,8,2017,02,d27,21
4,8,2017,02,d28,21
4,8,2017,02,d29,0
4,8,2017,02,d30,0
4,8,2017,02,d31,0
4,8,2017,03,d01,40
4,8,2017,03,d02,57
4,8,2017,03,d03,41
4,8,2017,03,d04,22
4,8,2017,03,d05,21
4,8,2017,03,d06,30
4,8,2017,03,d07,46
4,8,2017,03,d08,77
4,8,2017,03,d09,81
4,8,2017,03,d10,80
4,8,2017,03,d11,52
4,8,2017,03,d12,30
4,8,2017,03,d13,18
4,8,2017,03,d14,33
4,8,2017,03,d15,40
4,8,2017,03,d16,52
4,8,2017,03,d17,67
4,8,2017,03,d18,66
4,8,2017,03,d19,57
4,8,2017,03,d20,40
4,8,2017,03,d21,28
4,8,2017,03,d22,25
4,8,2017,03,d23,35
4,8,2017,03,d24,51
4,8,2017,03,d25,48
4,8,2017,03,d26,37
4,8,2017,03,d27,30
4,8,2017,03,d28,45
4,8,2017,03,d29,59
4,8,2017,03,d30,58
4,8,2017,03,d31,43
4,8,2017,04,d01,25
4,8,2017,04,d02,31
4,8,2017,04,d03,46
4,8,2017,04,d04,59
4,8,2017,04,d05,23
4,8,2017,04,d06,35
4,8,2017,04,d07,49
4,8,2017,04,d08,57
4,8,2017,04,d09,52
4,8,2017,04,d10,62
4,8,2017,04,d11,71
4,8,2017,04,d12,58
4,8,2017,04,d13,55
4,8,2017,04,d14,38
4,8,2017,04,d15,34
4,8,2017,04,d16,28
4,8,2017,04,d17,50
4,8,2017,04,d18,31
4,8,2017,04,d19,29
4,8,2017,04,d20,36
4,8,2017,04,d21,42
4,8,2017,04,d22,54
4,8,2017,04,d23,60
4,8,2017,04,d24,62
4,8,2017,04,d25,37
4,8,2017,04,d26,25
4,8,2017,04,d27,20
4,8,2017,04,d28,26
4,8,2017,04,d29,39
4,8,2017,04,d30,25
4,8,2017,04,d31,0
4,8,2017,05,d01,25
4,8,2017,05,d02,41
4,8,2017,05,d03,51
4,8,2017,05,d04,74
4,8,2017,05,d05,37
4,8,2017,05,d06,17
4,8,2017,05,d07,40
4,8,2017,05,d08,44
4,8,2017,05,d09,51
4,8,2017,05,d10,22
4,8,2017,05,d11,22
4,8,2017,05,d12,31
4,8,2017,05,d13,17
4,8,2017,05,d14,28
4,8,2017,05,d15,45
4,8,2017,05,d16,65
4,8,2017,05,d17,36
4,8,2017,05,d18,39
4,8,2017,05,d19,42
4,8,2017,05,d20,54
4,8,2017,05,d21,44
4,8,2017,05,d22,55
4,8,2017,05,d23,35
4,8,2017,05,d24,56
