estacion,magnitud,ano,mes,dia,dato_no2
4,8,2018,01,d01,21
4,8,2018,01,d02,29
4,8,2018,01,d03,35
4,8,2018,01,d04,26
4,8,2018,01,d05,32
4,8,2018,01,d06,29
4,8,2018,01,d07,33
4,8,2018,01,d08,54
4,8,2018,01,d09,53
4,8,2018,01,d10,44
4,8,2018,01,d11,35
4,8,2018,01,d12,67
4,8,2018,01,d13,47
4,8,2018,01,d14,33
4,8,2018,01,d15,48
4,8,2018,01,d16,50
4,8,2018,01,d17,55
4,8,2018,01,d18,71
4,8,2018,01,d19,74
4,8,2018,01,d20,62
4,8,2018,01,d21,47
4,8,2018,01,d22,54
4,8,2018,01,d23,57
4,8,2018,01,d24,62
4,8,2018,01,d25,46
4,8,2018,01,d26,38
4,8,2018,01,d27,26
4,8,2018,01,d28,22
4,8,2018,01,d29,67
4,8,2018,01,d30,61
4,8,2018,01,d31,74
4,8,2018,02,d01,58
4,8,2018,02,d02,47
4,8,2018,02,d03,41
4,8,2018,02,d04,31
4,8,2018,02,d05,40
4,8,2018,02,d06,37
4,8,2018,02,d07,47
4,8,2018,02,d08,52
4,8,2018,02,d09,63
4,8,2018,02,d10,45
4,8,2018,02,d11,45
4,8,2018,02,d12,44
4,8,2018,02,d13,51
4,8,2018,02,d14,28
4,8,2018,02,d15,46
4,8,2018,02,d16,45
4,8,2018,02,d17,43
4,8,2018,02,d18,33
4,8,2018,02,d19,41
4,8,2018,02,d20,50
4,8,2018,02,d21,39
4,8,2018,02,d22,54
4,8,2018,02,d23,60
4,8,2018,02,d24,63
4,8,2018,02,d25,66
4,8,2018,02,d26,76
4,8,2018,02,d27,55
4,8,2018,02,d28,52
4,8,2018,02,d29,0
4,8,2018,02,d30,0
4,8,2018,02,d31,0
4,8,2018,03,d01,35
4,8,2018,03,d02,53
4,8,2018,03,d03,27
4,8,2018,03,d04,25
4,8,2018,03,d05,29
4,8,2018,03,d06,33
4,8,2018,03,d07,38
4,8,2018,03,d08,48
4,8,2018,03,d09,53
4,8,2018,03,d10,35
4,8,2018,03,d11,12
4,8,2018,03,d12,20
4,8,2018,03,d13,39
4,8,2018,03,d14,38
4,8,2018,03,d15,23
4,8,2018,03,d16,24
4,8,2018,03,d17,23
4,8,2018,03,d18,24
4,8,2018,03,d19,29
4,8,2018,03,d20,27
4,8,2018,03,d21,30
4,8,2018,03,d22,48
4,8,2018,03,d23,51
4,8,2018,03,d24,14
4,8,2018,03,d25,25
4,8,2018,03,d26,50
4,8,2018,03,d27,40
4,8,2018,03,d28,41
4,8,2018,03,d29,14
4,8,2018,03,d30,9
